// ThingDef
вывеска таверны; вывески таверны
вывеска ночлега; вывески ночлега
вывеска оружейной; вывески оружейной
вывеска постоялого двора; вывески постоялого двора
вывеска стрельбища; вывески стрельбища
вывеска конюшни; вывески конюшни
вывеска каменоломни; вывески каменоломни
вывеска магической лавки; вывески магической лавки
вывеска торговой лавки; вывески торговой лавки
вывеска лавки портного; вывески лавки портного
вывеска мясницкой лавки; вывески мясницкой лавки
вывеска библиотеки; вывески библиотеки
вывеска аптеки; вывески аптеки
вывеска кузни; вывески кузни
